age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
18, Private,209443, HS-grad,8, Never-married, Adm-clerical, Own-child, White, Female,17,0,39, Honduras, <=50K
46, State-gov,194909, Bachelors,12, Separated, Adm-clerical, Unmarried, White, Female,-7,0,39, United-States, >50K
41, Federal-gov,289531, HS-grad,8, Married-civ-spouse, Craft-repair, Husband, Black, Male,20,0,53, United-States, <=50K
45, Private,286641, HS-grad,8, Married-spouse-absent, Other-service, Wife, Asian-Pac-Islander, Female,20,0,49, Jamaica, <=50K
41, State-gov,103464, HS-grad,9, Never-married, Craft-repair, Unmarried, Black, Male,15,-1,39, United-States, <=50K
30, Federal-gov,140583, Bachelors,12, Never-married, Prof-specialty, Not-in-family, White, Male,-9,0,39, United-States, >50K
49, Private,30014, Assoc-acdm,12, Married-civ-spouse, Machine-op-inspct, Wife, Black, Female,0,0,39, United-States, <=50K
42, Private,119329, Some-college,9, Married-civ-spouse, Craft-repair, Husband, White, Male,20,0,43, United-States, >50K
38, Private,113451, HS-grad,8, Never-married, Other-service, Unmarried, Black, Male,26,0,39, United-States, <=50K
42, Never-worked,66503, Bachelors,12, Never-married, Adm-clerical, Own-child, White, Male,-7,0,40, United-States, <=50K
46, Private,220458, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40,0,43, United-States, >50K
35, Private,200609, Assoc-voc,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,4,0,39, United-States, <=50K
23, Private,335074, Bachelors,12, Divorced, Other-service, Unmarried, Black, Female,6,0,35, United-States, <=50K
42, Private,64451, Some-college,9, Married-civ-spouse, Craft-repair, Husband, White, Male,4064,0,43, United-States, >50K
18, Private,221275, 11th,7, Never-married, Other-service, Own-child, White, Female,1,0,29, United-States, <=50K
71, Self-emp-inc,27348, Bachelors,12, Divorced, Prof-specialty, Husband, White, Male,16,1,63, United-States, <=50K
54, Self-emp-inc,64164, Bachelors,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,-6,0,39, United-States, >50K
53, State-gov,374373, HS-grad,8, Separated, Other-service, Not-in-family, Black, Female,9,0,40, United-States, <=50K
23, Private,196271, Bachelors,12, Never-married, Handlers-cleaners, Own-child, White, Female,-1,0,39, United-States, <=50K
53, Self-emp-not-inc,175600, 9th,7, Married-civ-spouse, Sales, Husband, White, Male,1,-1,39, United-States, >50K
46, Federal-gov,156651, HS-grad,9, Separated, Adm-clerical, Unmarried, Black, Female,6,0,39, United-States, <=50K
37, Private,106654, HS-grad,8, Separated, Other-service, Unmarried, Black, Female,25,0,39, United-States, <=50K
27, Private,212270, HS-grad,8, Widowed, Adm-clerical, Unmarried, White, Female,-11,0,34, United-States, <=50K
20, Private,312295, 1st-4th,3, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Female,14,0,19, Honduras, <=50K
49, Self-emp-not-inc,176692, Bachelors,13, Married-civ-spouse, Other-service, Husband, White, Male,12,0,49, United-States, <=50K
43, Self-emp-not-inc,114944, Bachelors,12, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,8,0,65, United-States, >50K
42, Self-emp-not-inc,250762, Bachelors,12, Married-civ-spouse, Sales, Own-child, White, Male,-2,0,49, United-States, <=50K
31, Local-gov,53698, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,2,0,8, Cuba, <=50K
88, Self-emp-not-inc,115200, Bachelors,12, Divorced, Prof-specialty, Not-in-family, White, Female,10,0,63, United-States, >50K
47, Self-emp-not-inc,156823, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,33,0,56, United-States, >50K
28, State-gov,116964, HS-grad,8, Never-married, Prof-specialty, Not-in-family, Black, Female,17,0,39, United-States, <=50K
31, Federal-gov,31986, Assoc-voc,10, Married-civ-spouse, Adm-clerical, Wife, White, Female,16,0,39, United-States, >50K
61, Self-emp-not-inc,98636, Masters,13, Married-civ-spouse, Exec-managerial, Husband, Black, Male,3747,0,55, United-States, >50K
31, Local-gov,147568, HS-grad,8, Divorced, Other-service, Unmarried, Black, Male,32,-1,43, United-States, <=50K
19, Private,268699, 9th,5, Never-married, Handlers-cleaners, Unmarried, White, Female,13,0,29, United-States, <=50K
40, Federal-gov,155633, Some-college,9, Married-civ-spouse, Prof-specialty, Husband, White, Male,-3,0,39, England, >50K
35, Self-emp-not-inc,177370, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,-18,0,19, United-States, <=50K
40, Self-emp-not-inc,234258, 7th-8th,3, Married-civ-spouse, Transport-moving, Husband, White, Male,10,0,39, United-States, >50K
46, Private,79696, HS-grad,9, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female,1,0,29, United-States, <=50K
51, Self-emp-not-inc,186851, Bachelors,12, Married-civ-spouse, Sales, Husband, White, Male,-3,0,39, United-States, >50K
21, Private,82952, HS-grad,8, Never-married, Other-service, Own-child, White, Female,4,0,40, Jamaica, <=50K
23, Self-emp-not-inc,254423, Bachelors,12, Married-civ-spouse, Sales, Other-relative, White, Male,6,0,63, United-States, <=50K
46, Self-emp-not-inc,20640, Assoc-acdm,12, Never-married, Prof-specialty, Not-in-family, White, Female,0,-1,44, United-States, <=50K
49, State-gov,239625, 11th,6, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,8,0,39, United-States, <=50K
40, Local-gov,221716, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,-1,0,55, United-States, >50K
15, Private,236741, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Female,-27,-1,42, United-States, <=50K
18, Private,197460, 7th-8th,3, Never-married, Machine-op-inspct, Other-relative, Other, Female,22,0,28, United-States, <=50K
19, Private,39661, 11th,9, Divorced, Other-service, Unmarried, White, Male,12,0,21, United-States, <=50K
26, Private,158515, Some-college,10, Never-married, Other-service, Not-in-family, White, Female,11,0,40, England, <=50K
48, Private,325473, HS-grad,9, Widowed, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,-1,0,39, United-States, <=50K
32, Private,186170, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,7473,0,60, United-States, >50K
53, Private,103671, Masters,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,10,0,56, India, <=50K
45, Federal-gov,31592, HS-grad,8, Divorced, Adm-clerical, Unmarried, Black, Female,-6,0,39, United-States, <=50K
50, Private,82420, 11th,7, Widowed, Prof-specialty, Not-in-family, White, Female,-6,0,40, United-States, <=50K
44, Private,86707, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Female,-2,0,39, United-States, <=50K
23, Private,130617, 11th,6, Never-married, Other-service, Other-relative, White, Female,12,0,39, United-States, <=50K
27, Local-gov,115660, HS-grad,8, Divorced, Adm-clerical, Unmarried, White, Female,6,0,39, United-States, <=50K
35, Self-emp-not-inc,193804, Prof-school,15, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,66, United-States, <=50K
39, Private,38181, Some-college,9, Married-civ-spouse, Sales, Husband, White, Male,7727,1826,52, United-States, >50K
35, State-gov,110250, HS-grad,9, Divorced, Adm-clerical, Unmarried, Black, Female,9,-1,34, United-States, <=50K
40, Private,246788, Some-college,9, Married-civ-spouse, Tech-support, Wife, Black, Female,0,0,42, United-States, >50K
40, Self-emp-not-inc,166760, Bachelors,12, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,56, United-States, >50K
51, Private,180838, Bachelors,12, Divorced, Adm-clerical, Not-in-family, Black, Female,-9,0,39, United-States, <=50K
84, Self-emp-not-inc,192480, Bachelors,12, Married-civ-spouse, Exec-managerial, Husband, White, Male,7497,0,59, United-States, >50K
42, Self-emp-not-inc,160856, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,50,0,57, India, >50K
48, Private,205109, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Wife, Black, Female,9,0,39, Jamaica, >50K
47, Private,173042, HS-grad,9, Divorced, Tech-support, Not-in-family, Black, Female,-16,0,44, United-States, <=50K
41, Self-emp-not-inc,40295, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,6,0,57, United-States, >50K
40, Private,399751, Some-college,10, Separated, Adm-clerical, Unmarried, White, Female,-12,0,29, United-States, <=50K
42, Private,116478, Some-college,9, Married-civ-spouse, Craft-repair, Husband, White, Male,9,-1,39, United-States, >50K
40, Private,120036, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White, Male,1,0,58, United-States, <=50K
58, Private,53392, 11th,6, Divorced, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Female,3770,0,39, United-States, <=50K
29, Local-gov,198885, Some-college,9, Separated, Adm-clerical, Unmarried, Black, Female,2,0,29, United-States, <=50K
52, Self-emp-not-inc,104949, Assoc-acdm,12, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,44, United-States, <=50K
65, Private,188129, 7th-8th,3, Divorced, Craft-repair, Not-in-family, White, Female,15,0,40, United-States, <=50K
20, Private,110817, Some-college,9, Never-married, Adm-clerical, Own-child, White, Male,-11,0,29, United-States, <=50K
23, Private,189594, Bachelors,12, Never-married, Prof-specialty, Own-child, White, Male,8,0,70, United-States, <=50K
49, Private,118814, Masters,13, Divorced, Prof-specialty, Unmarried, White, Male,11,0,43, Canada, >50K
41, Private,97056, HS-grad,9, Divorced, Exec-managerial, Unmarried, White, Female,6,0,35, United-States, <=50K
20, Private,242657, HS-grad,9, Never-married, Other-service, Own-child, Black, Male,24,0,15, United-States, <=50K
19, Private,50143, Assoc-voc,10, Never-married, Farming-fishing, Own-child, White, Male,12,0,39, United-States, <=50K
20, Private,145122, Some-college,10, Never-married, Handlers-cleaners, Other-relative, Black, Female,-15,0,28, United-States, <=50K
44, Private,150907, Bachelors,12, Never-married, Sales, Own-child, White, Female,9,0,29, United-States, <=50K
43, Local-gov,308781, 12th,6, Divorced, Adm-clerical, Unmarried, Black, Female,-9,0,29, United-States, <=50K
26, Private,135225, Assoc-voc,10, Never-married, Tech-support, Other-relative, White, Female,-7,0,39, United-States, <=50K
49, Private,94325, Some-college,9, Divorced, Adm-clerical, Not-in-family, White, Female,31,0,39, United-States, >50K
17, Self-emp-inc,285982, Some-college,10, Separated, Exec-managerial, Own-child, Black, Female,12,0,28, United-States, <=50K
35, Self-emp-inc,128709, Some-college,9, Divorced, Exec-managerial, Unmarried, White, Male,19,0,44, Puerto-Rico, <=50K
42, Private,141081, 5th-6th,3, Married-civ-spouse, Craft-repair, Husband, White, Male,40,0,42, United-States, >50K
58, Private,398959, HS-grad,8, Married-civ-spouse, Craft-repair, Husband, White, Male,24,0,39, Mexico, >50K
40, Private,229246, Some-college,10, Never-married, Sales, Own-child, Black, Female,-18,1,29, Puerto-Rico, <=50K
39, Private,292227, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,26,0,39, United-States, <=50K
49, Private,69747, Assoc-acdm,12, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Female,-9,0,43, India, >50K
42, Without-pay,44853, HS-grad,8, Married-civ-spouse, Adm-clerical, Wife, Black, Female,19,0,28, United-States, <=50K
49, Private,203632, Some-college,9, Never-married, Prof-specialty, Not-in-family, Black, Female,-22,2054,44, Jamaica, <=50K
24, Private,493071, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Male,10,0,39, United-States, <=50K
26, Private,207006, Assoc-acdm,8, Married-civ-spouse, Craft-repair, Own-child, White, Female,26,-2,39, United-States, <=50K
44, Private,193344, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,37,0,19, United-States, <=50K
25, Private,218985, Bachelors,12, Never-married, Machine-op-inspct, Not-in-family, White, Female,22,0,39, Mexico, <=50K
39, Private,306656, Bachelors,12, Divorced, Tech-support, Not-in-family, White, Female,14,0,39, United-States, <=50K
43, Private,367757, HS-grad,8, Married-civ-spouse, Sales, Husband, White, Male,3484,0,39, United-States, >50K
55, Private,89509, Bachelors,12, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Male,-16,0,57, India, <=50K
35, Self-emp-not-inc,111548, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,-8,0,63, United-States, <=50K
48, Local-gov,90730, Bachelors,12, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,-9,1813,43, United-States, >50K
35, Private,328516, 7th-8th,12, Married-civ-spouse, Craft-repair, Husband, White, Male,3,0,39, United-States, <=50K
43, Private,223332, HS-grad,9, Divorced, Adm-clerical, Unmarried, Black, Female,-7,0,39, United-States, <=50K
51, Private,210400, HS-grad,8, Married-civ-spouse, Craft-repair, Husband, White, Male,21,0,55, United-States, <=50K
75, Private,189083, 7th-8th,7, Widowed, Exec-managerial, Unmarried, White, Female,-15,0,29, United-States, <=50K
43, Local-gov,230194, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,14,0,39, United-States, <=50K
26, Private,208335, Some-college,10, Never-married, Handlers-cleaners, Other-relative, Asian-Pac-Islander, Male,19,1,17, Canada, <=50K
39, Private,21145, Assoc-voc,10, Never-married, Adm-clerical, Not-in-family, White, Female,-5,0,44, United-States, >50K
36, Private,207687, Some-college,12, Divorced, Tech-support, Not-in-family, White, Female,0,0,44, United-States, <=50K
45, Private,186442, Some-college,9, Married-AF-spouse, Adm-clerical, Wife, Black, Female,-13,0,39, United-States, <=50K
34, Self-emp-not-inc,81399, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,13,0,39, United-States, >50K
32, Private,196551, HS-grad,8, Never-married, Adm-clerical, Unmarried, White, Female,20,0,39, United-States, <=50K
66, Self-emp-not-inc,116384, 10th,12, Married-civ-spouse, Sales, Unmarried, White, Male,3879,0,57, United-States, <=50K
40, Self-emp-not-inc,108974, HS-grad,12, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,-19,0,60, United-States, <=50K
43, Private,300688, 7th-8th,3, Married-civ-spouse, Craft-repair, Husband, White, Male,4,0,39, United-States, <=50K
40, Federal-gov,121283, Prof-school,15, Divorced, Prof-specialty, Not-in-family, White, Male,15253,0,39, United-States, >50K
42, Private,206329, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,34, United-States, >50K
24, Private,90479, 11th,12, Never-married, Prof-specialty, Own-child, White, Female,7544,0,39, United-States, <=50K
19, Federal-gov,42590, Some-college,10, Never-married, Protective-serv, Own-child, White, Male,18,0,40, United-States, <=50K
50, Self-emp-not-inc,105297, Bachelors,12, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,-27,0,55, United-States, >50K
42, Private,381088, Masters,14, Married-spouse-absent, Prof-specialty, Other-relative, Asian-Pac-Islander, Male,-2,0,56, Philippines, >50K
47, Local-gov,139268, HS-grad,8, Married-civ-spouse, Sales, Husband, White, Male,-12,0,39, United-States, <=50K
33, Federal-gov,182923, Assoc-voc,11, Never-married, Prof-specialty, Other-relative, White, Female,8,0,45, United-States, >50K
54, Self-emp-not-inc,190525, Bachelors,12, Married-civ-spouse, Other-service, Husband, White, Male,3,0,55, United-States, <=50K
24, Private,179921, 11th,9, Never-married, Handlers-cleaners, Own-child, Black, Male,-12,0,39, United-States, <=50K
16, Private,229859, 11th,7, Never-married, Prof-specialty, Own-child, Other, Male,-1,1,11, United-States, <=50K
40, Private,191072, Some-college,9, Divorced, Adm-clerical, Unmarried, White, Female,3640,0,39, Cuba, <=50K
46, State-gov,353492, 5th-6th,5, Divorced, Adm-clerical, Unmarried, White, Female,15,0,29, United-States, <=50K
32, Private,81904, Bachelors,11, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,-4,0,34, India, <=50K
49, Private,264933, Preschool,3, Married-civ-spouse, Sales, Wife, Other, Male,2,0,49, Cuba, <=50K
20, Private,179844, Assoc-voc,15, Never-married, Adm-clerical, Own-child, Black, Female,-2,0,30, United-States, <=50K
36, Private,140392, HS-grad,9, Married-civ-spouse, Other-service, Other-relative, Other, Male,-2,0,39, United-States, <=50K
47, Self-emp-not-inc,196577, Prof-school,3, Married-civ-spouse, Farming-fishing, Husband, White, Male,-1,0,65, United-States, <=50K
43, Private,232675, Some-college,9, Never-married, Craft-repair, Other-relative, White, Male,9,0,39, United-States, <=50K
39, Private,104815, 5th-6th,3, Never-married, Craft-repair, Husband, White, Male,30,0,39, Honduras, <=50K
40, Private,320795, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Female,8,0,30, United-States, <=50K
47, Private,339516, 7th-8th,4, Never-married, Transport-moving, Not-in-family, White, Male,-10,0,33, United-States, <=50K
63, Private,119203, Some-college,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,-7,1,44, United-States, >50K
22, Federal-gov,99784, Bachelors,12, Never-married, Prof-specialty, Not-in-family, Black, Female,-28,0,39, United-States, <=50K
22, Private,121101, HS-grad,9, Widowed, Handlers-cleaners, Not-in-family, White, Female,34,0,39, United-States, <=50K
77, Private,131999, Prof-school,15, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,13,0,45, Cuba, >50K
51, Private,54384, 5th-6th,3, Married-spouse-absent, Machine-op-inspct, Unmarried, Black, Male,4227,0,39, Mexico, <=50K
24, Private,166228, 12th,8, Never-married, Prof-specialty, Own-child, Black, Male,22,0,40, United-States, <=50K
23, Private,108962, Assoc-voc,10, Never-married, Tech-support, Not-in-family, Black, Female,18,0,39, United-States, <=50K
39, Federal-gov,154252, Some-college,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,14741,0,56, United-States, >50K
47, Private,132415, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,-15,0,49, United-States, <=50K
78, Self-emp-inc,189477, Bachelors,12, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,21,1808,57, United-States, >50K
33, Private,247463, HS-grad,8, Widowed, Transport-moving, Not-in-family, White, Male,17,0,56, United-States, <=50K
20, State-gov,104001, Some-college,10, Never-married, Adm-clerical, Other-relative, Black, Male,-10,0,39, United-States, <=50K
48, Private,49200, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,24,0,71, United-States, <=50K
22, Private,215016, Bachelors,12, Never-married, Sales, Not-in-family, White, Male,10,0,56, United-States, <=50K
42, Private,88162, Some-college,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,1,0,28, United-States, <=50K
58, Private,106027, 12th,7, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,6,0,39, South, >50K
41, Private,270496, 5th-6th,3, Never-married, Prof-specialty, Unmarried, Asian-Pac-Islander, Female,25,0,42, Honduras, <=50K
42, Private,132357, HS-grad,8, Married-civ-spouse, Craft-repair, Husband, White, Male,14,0,39, United-States, >50K
45, Self-emp-not-inc,68715, Assoc-acdm,11, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,22,0,39, United-States, <=50K
38, Self-emp-inc,106283, Bachelors,12, Divorced, Exec-managerial, Husband, White, Female,19,0,40, United-States, >50K
23, Private,35710, HS-grad,8, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,10,0,55, United-States, <=50K
26, Self-emp-not-inc,217414, Assoc-acdm,11, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
35, Private,217486, 10th,5, Never-married, Other-service, Unmarried, Black, Female,16,0,39, United-States, <=50K
53, Self-emp-not-inc,180297, Prof-school,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,34,0,55, United-States, >50K
46, Private,198743, 7th-8th,3, Married-civ-spouse, Transport-moving, Husband, White, Male,13,1,39, United-States, <=50K
42, Private,287264, HS-grad,8, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,24,0,39, United-States, >50K
42, Private,210038, Some-college,9, Divorced, Exec-managerial, Other-relative, Black, Male,13,0,28, United-States, >50K
50, Private,93809, Assoc-voc,11, Married-civ-spouse, Adm-clerical, Wife, White, Female,8,0,58, United-States, >50K
41, Private,177130, HS-grad,9, Never-married, Tech-support, Unmarried, White, Female,0,0,40, United-States, <=50K
67, Self-emp-not-inc,106981, Bachelors,9, Married-civ-spouse, Tech-support, Husband, White, Male,7614,0,55, United-States, >50K
37, Self-emp-not-inc,274743, Bachelors,13, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,-9,0,68, Guatemala, <=50K
40, Self-emp-inc,198400, Prof-school,14, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,16193,0,62, United-States, >50K
20, Private,241504, Some-college,10, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Female,-1,0,8, United-States, <=50K
43, Private,112137, Masters,14, Never-married, Exec-managerial, Other-relative, White, Male,8,0,39, United-States, >50K
48, Private,118329, Masters,15, Widowed, Sales, Unmarried, White, Female,22,0,39, United-States, <=50K
37, Private,40298, HS-grad,9, Never-married, Other-service, Unmarried, White, Female,12,0,34, United-States, <=50K
53, Private,139054, HS-grad,9, Never-married, Other-service, Own-child, Black, Male,28,0,34, United-States, <=50K
49, Private,41506, Masters,14, Never-married, Sales, Unmarried, White, Female,17,0,39, United-States, <=50K
39, Self-emp-not-inc,31881, Bachelors,12, Never-married, Prof-specialty, Not-in-family, Black, Male,8,0,44, United-States, <=50K
25, Local-gov,159221, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,7654,0,49, United-States, <=50K
26, Private,540153, Some-college,9, Never-married, Other-service, Other-relative, Black, Male,-13,0,36, United-States, <=50K
59, Self-emp-not-inc,132709, HS-grad,8, Married-civ-spouse, Exec-managerial, Husband, White, Male,-6,0,10, United-States, >50K
52, Self-emp-not-inc,41327, 7th-8th,12, Widowed, Adm-clerical, Not-in-family, White, Female,3583,0,20, United-States, <=50K
58, Private,272896, HS-grad,8, Separated, Handlers-cleaners, Not-in-family, Black, Female,0,0,39, United-States, <=50K
39, Private,135685, Some-college,9, Never-married, Adm-clerical, Own-child, Black, Female,0,0,29, United-States, <=50K
54, Self-emp-not-inc,164522, 7th-8th,3, Married-civ-spouse, Exec-managerial, Husband, White, Male,-5,0,44, United-States, <=50K
40, State-gov,261868, Some-college,10, Separated, Exec-managerial, Other-relative, White, Female,23,0,28, United-States, <=50K
24, Self-emp-not-inc,32345, Some-college,9, Never-married, Adm-clerical, Own-child, Black, Female,-17,0,29, United-States, <=50K
21, Private,85770, Some-college,10, Divorced, Tech-support, Unmarried, Black, Female,17,0,36, United-States, <=50K
47, Private,145034, 7th-8th,3, Married-civ-spouse, Exec-managerial, Husband, White, Male,-20,0,40, Cuba, <=50K
